lon,lat,"poplar_yield Mt/ha"
-78.25,27.25,NA
-77.75,27.25,NA
-77.25,27.25,NA
-76.75,27.25,NA
-76.25,27.25,NA
-75.75,27.25,NA
-75.25,27.25,NA
-74.75,27.25,NA
-74.25,27.25,NA
-73.75,27.25,NA
-73.25,27.25,NA
-72.75,27.25,NA
-72.25,27.25,NA
-71.75,27.25,NA
-71.25,27.25,NA
-70.75,27.25,NA
-70.25,27.25,NA
-69.75,27.25,NA
-69.25,27.25,NA
-68.75,27.25,NA
-68.25,27.25,NA
-67.75,27.25,NA
-67.25,27.25,NA
-124.25,27.75,NA
-123.75,27.75,NA
-123.25,27.75,NA
-122.75,27.75,NA
-122.25,27.75,NA
-121.75,27.75,NA
-121.25,27.75,NA
-120.75,27.75,NA
-120.25,27.75,NA
-119.75,27.75,NA
-119.25,27.75,NA
-118.75,27.75,NA
-118.25,27.75,NA
-117.75,27.75,NA
-117.25,27.75,NA
-116.75,27.75,NA
-116.25,27.75,NA
-115.75,27.75,NA
-115.25,27.75,NA
-114.75,27.75,8.828483495
-114.25,27.75,8.838233081
-113.75,27.75,8.673500581
-113.25,27.75,8.803321448
-112.75,27.75,7.853964806
-112.25,27.75,4.500957557
-111.75,27.75,NA
-111.25,27.75,NA
-110.75,27.75,4.717984881
-110.25,27.75,2.745821646
-109.75,27.75,2.575655324
-109.25,27.75,4.03195858
-108.75,27.75,3.03043638
-108.25,27.75,3.097800527
-107.75,27.75,2.976474762
-107.25,27.75,2.78845048
-106.75,27.75,2.612959146
-106.25,27.75,2.736129999
-105.75,27.75,5.74710091
-105.25,27.75,5.677682559
-104.75,27.75,3.216044188
-104.25,27.75,4.13892746
-103.75,27.75,4.097476006
-103.25,27.75,5.572987398
-102.75,27.75,3.992758512
-102.25,27.75,4.091379642
-101.75,27.75,4.304694653
-101.25,27.75,4.571526845
-100.75,27.75,5.366357054
-100.25,27.75,5.829445975
-99.75,27.75,5.387325968
-99.25,27.75,5.297299794
-98.75,27.75,6.752644948
-98.25,27.75,5.754139764
-97.75,27.75,7.315433979
-97.25,27.75,8.489892006
-96.75,27.75,NA
