# Deepak Jaiswal, David LeBauer, Dan Wang, Tim Wertin, Andrew Leakey, and Steve Long, in prep. Please do not reuse prior to publication without consent of authors
lat,lon,salix_yield
42.31,-120.98,2.03
42.59,-121.05,6.07
42.88,-121.13,4.93
43.16,-121.20,0.69
43.45,-121.28,4.35
43.73,-121.35,3.14
44.02,-121.43,0.82
44.30,-121.51,3.21
44.59,-121.59,5.44
44.87,-121.67,5.18
45.16,-121.75,6.44
45.44,-121.83,8.95
45.73,-121.91,11.79
46.02,-121.99,12.53
46.30,-122.08,10.59
46.59,-122.16,12.08
46.87,-122.25,14.56
47.16,-122.33,11.84
34.19,-118.81,1.91
34.47,-118.86,1.82
34.74,-118.92,0.91
35.02,-118.97,1.77
35.30,-119.03,0.24
35.58,-119.08,0.45
35.86,-119.14,0.48
36.14,-119.20,1.50
36.42,-119.25,1.03
36.70,-119.31,1.80
36.98,-119.37,2.72
37.27,-119.43,4.47
37.55,-119.49,2.10
37.83,-119.55,3.23
38.11,-119.61,6.12
38.39,-119.67,5.56
38.68,-119.73,2.89
38.96,-119.79,6.03
39.24,-119.86,2.27
39.52,-119.92,1.10
39.81,-119.99,1.71
40.09,-120.05,3.09
40.37,-120.12,2.09
40.66,-120.18,2.63
40.94,-120.25,2.32
41.23,-120.32,3.21
41.51,-120.39,4.56
41.79,-120.46,7.68
42.08,-120.52,2.43
42.36,-120.60,3.37
42.65,-120.67,2.71
42.93,-120.74,6.80
43.22,-120.81,3.44
43.50,-120.88,3.16
43.79,-120.96,2.37
44.07,-121.03,1.87
44.36,-121.11,0.39
44.64,-121.19,0.40
44.93,-121.26,3.47
45.22,-121.34,1.51
45.50,-121.42,2.52
45.79,-121.50,9.19
46.07,-121.58,6.36
46.36,-121.66,7.99
46.64,-121.75,10.15
46.93,-121.83,7.77
47.22,-121.91,12.20
47.50,-122.00,12.09
47.79,-122.09,8.58
48.07,-122.17,14.72
48.64,-122.35,12.39
48.93,-122.44,16.34
34.23,-118.47,2.91
34.51,-118.52,0.53
34.79,-118.58,1.33
35.07,-118.63,1.16
35.35,-118.68,0.88
35.63,-118.74,1.00
35.91,-118.79,2.39
36.19,-118.85,2.76
36.47,-118.90,3.45
36.75,-118.96,2.76
37.03,-119.02,4.23
37.31,-119.08,2.09
37.59,-119.13,1.60
37.88,-119.19,3.03
38.16,-119.25,1.98
38.44,-119.31,2.14
38.72,-119.37,1.27
39.01,-119.43,1.31
39.29,-119.49,1.54
39.57,-119.55,0.48
39.86,-119.62,1.19
40.14,-119.68,4.93
40.42,-119.74,1.89
40.71,-119.81,1.66
40.99,-119.87,3.00
41.28,-119.94,3.28
41.56,-120.01,1.37
41.85,-120.07,1.39
42.13,-120.14,3.19
42.42,-120.21,2.42
42.70,-120.28,4.25
42.99,-120.35,1.38
43.27,-120.42,5.26
43.56,-120.49,2.02
43.84,-120.56,3.35
44.13,-120.64,3.17
44.41,-120.71,5.04
44.70,-120.78,5.17
44.98,-120.86,3.39
45.27,-120.94,2.83
45.56,-121.01,0.95
45.84,-121.09,5.18
46.13,-121.17,6.51
46.41,-121.25,5.87
46.70,-121.33,7.06
46.99,-121.41,8.39
47.27,-121.49,9.17
47.56,-121.58,11.53
47.85,-121.66,14.98
48.13,-121.75,13.55
48.42,-121.83,11.73
48.70,-121.92,10.15
48.99,-122.01,10.19
33.99,-118.08,3.03
34.27,-118.13,0.63
34.55,-118.19,0.78
34.83,-118.24,0.79
35.11,-118.29,0.43
35.39,-118.34,1.51
35.67,-118.39,2.20
35.95,-118.45,1.92
36.23,-118.50,2.44
36.51,-118.55,4.57
36.79,-118.61,2.65
37.08,-118.66,1.10
37.36,-118.72,3.62
37.64,-118.78,2.22
37.92,-118.83,1.33
38.20,-118.89,0.43
38.49,-118.95,0.19
38.77,-119.01,4.40
39.05,-119.07,3.35
39.34,-119.13,4.40
39.62,-119.19,1.56
39.90,-119.25,0.42
40.19,-119.31,1.94
40.47,-119.37,1.57
40.76,-119.43,1.68
41.04,-119.50,2.63
41.33,-119.56,2.89
41.61,-119.63,1.84
41.89,-119.69,6.31
42.18,-119.76,2.84
42.47,-119.82,5.96
42.75,-119.89,2.33
43.04,-119.96,3.37
43.32,-120.03,2.04
43.61,-120.10,2.23
43.89,-120.17,3.78
44.18,-120.24,3.57
44.46,-120.31,6.47
44.75,-120.38,5.14
45.04,-120.46,2.41
45.32,-120.53,1.83
45.61,-120.60,4.93
45.90,-120.68,5.98
46.18,-120.76,3.38
46.47,-120.83,3.20
46.76,-120.91,3.65
47.04,-120.99,5.02
47.33,-121.07,6.55
47.61,-121.15,7.89
47.90,-121.23,11.69
48.19,-121.32,11.65
48.47,-121.40,9.06
48.76,-121.49,7.98
33.76,-117.70,1.55
34.04,-117.75,2.36
34.31,-117.80,0.66
34.59,-117.85,0.15
34.87,-117.90,0.80
35.15,-117.95,0.79
35.43,-118.00,0.78
35.71,-118.05,0.78
35.99,-118.10,0.43
36.27,-118.15,0.89
36.56,-118.20,2.07
36.84,-118.26,1.24
37.12,-118.31,1.58
37.40,-118.37,1.85
37.68,-118.42,1.43
37.97,-118.48,2.03
38.25,-118.53,0.19
38.53,-118.59,1.70
38.82,-118.64,0.21
39.10,-118.70,0.94
39.38,-118.76,1.87
39.67,-118.82,1.14
39.95,-118.88,0.44
40.23,-118.94,2.00
40.52,-119.00,0.55
40.80,-119.06,2.02
41.09,-119.12,4.70
41.37,-119.18,5.14
41.66,-119.24,1.77
41.94,-119.31,2.34
42.23,-119.37,2.52
42.51,-119.44,2.69
42.80,-119.50,2.12
43.09,-119.57,2.06
43.37,-119.63,2.04
43.66,-119.70,2.23
43.94,-119.77,3.52
44.23,-119.84,3.96
44.52,-119.91,1.44
44.80,-119.98,1.52
45.09,-120.05,5.21
45.37,-120.12,4.68
45.66,-120.19,2.50
45.95,-120.27,2.01
46.23,-120.34,2.46
46.52,-120.42,3.90
46.81,-120.49,1.41
47.10,-120.57,5.88
47.38,-120.65,5.89
47.67,-120.73,5.80
47.96,-120.81,8.00
48.24,-120.89,4.47
48.53,-120.97,6.78
48.82,-121.05,10.17
32.96,-117.23,4.59
33.52,-117.32,1.12
33.80,-117.36,1.30
34.07,-117.41,1.40
34.35,-117.46,0.42
34.63,-117.51,0.19
34.91,-117.56,0.44
35.19,-117.60,0.80
35.47,-117.65,1.35
35.75,-117.70,1.04
36.04,-117.75,0.81
36.32,-117.80,0.71
36.60,-117.85,1.76
36.88,-117.91,1.07
37.16,-117.96,1.32
37.44,-118.01,0.78
37.73,-118.06,4.32
38.01,-118.12,0.15
38.29,-118.17,0.18
38.58,-118.23,1.06
38.86,-118.28,4.82
39.14,-118.34,0.19
39.43,-118.39,0.24
39.71,-118.45,0.96
39.99,-118.51,3.32
40.28,-118.56,0.33
40.56,-118.62,1.28
40.85,-118.68,1.24
41.13,-118.74,4.99
41.42,-118.80,2.37
41.70,-118.86,1.05
41.99,-118.92,1.70
42.28,-118.99,2.03
42.56,-119.05,7.16
42.85,-119.11,2.21
43.13,-119.18,2.13
43.42,-119.24,1.97
43.71,-119.31,4.58
43.99,-119.37,3.99
44.28,-119.44,1.24
44.56,-119.51,2.31
44.85,-119.57,2.37
45.14,-119.64,3.19
45.42,-119.71,3.62
45.71,-119.78,2.83
46.00,-119.86,2.33
46.29,-119.93,2.10
46.57,-120.00,0.75
46.86,-120.07,1.46
47.15,-120.15,1.91
47.43,-120.22,3.22
47.72,-120.30,3.24
48.01,-120.38,5.21
48.30,-120.46,4.64
48.58,-120.53,4.39
48.87,-120.61,3.52
32.72,-116.85,1.63
33.00,-116.90,1.68
33.28,-116.94,1.88
33.56,-116.98,1.68
33.83,-117.03,0.95
34.11,-117.07,0.57
34.39,-117.12,0.22
34.67,-117.17,0.20
34.95,-117.21,0.25
35.23,-117.26,0.75
35.51,-117.31,0.46
35.79,-117.36,1.44
36.08,-117.40,1.12
36.36,-117.45,0.51
36.64,-117.50,0.65
36.92,-117.55,1.00
37.20,-117.60,0.92
37.49,-117.65,0.77
37.77,-117.71,0.85
38.05,-117.76,1.04
38.33,-117.81,1.72
38.62,-117.86,0.73
38.90,-117.92,1.14
39.19,-117.97,0.23
39.47,-118.02,0.73
39.75,-118.08,4.28
40.04,-118.13,1.96
40.32,-118.19,1.84
40.61,-118.25,1.93
40.89,-118.30,2.48
41.18,-118.36,2.58
41.46,-118.42,0.90
41.75,-118.48,2.70
42.03,-118.54,4.42
42.32,-118.60,4.36
42.61,-118.66,1.97
42.89,-118.72,2.23
43.18,-118.78,2.13
43.47,-118.85,4.66
43.75,-118.91,4.09
44.04,-118.97,4.03
44.33,-119.04,2.17
44.61,-119.10,5.25
44.90,-119.17,1.77
45.19,-119.24,6.77
45.47,-119.30,5.64
45.76,-119.37,3.26
46.05,-119.44,2.56
46.34,-119.51,2.35
46.62,-119.58,2.29
46.91,-119.65,1.11
47.20,-119.73,2.81
47.48,-119.80,2.78
47.77,-119.87,3.88
48.06,-119.95,4.47
48.35,-120.02,3.79
48.63,-120.10,5.76
48.92,-120.18,3.40
32.76,-116.52,0.66
33.04,-116.56,2.54
33.31,-116.61,0.82
33.59,-116.65,0.63
33.87,-116.69,1.14
34.15,-116.74,0.50
34.43,-116.78,1.10
34.71,-116.83,0.14
34.99,-116.87,0.46
35.27,-116.92,1.48
35.55,-116.96,1.28
35.83,-117.01,1.44
36.11,-117.06,1.48
36.40,-117.10,0.30
36.68,-117.15,1.31
36.96,-117.20,0.18
37.24,-117.25,0.69
37.53,-117.30,0.73
37.81,-117.35,0.70
38.09,-117.40,0.86
38.37,-117.45,1.69
38.66,-117.50,0.17
38.94,-117.55,0.43
39.23,-117.60,4.36
39.51,-117.66,3.70
39.80,-117.71,1.20
40.08,-117.76,1.80
40.36,-117.82,2.27
40.65,-117.87,2.44
40.94,-117.93,2.98
41.22,-117.98,2.30
41.51,-118.04,1.40
41.79,-118.10,1.50
42.08,-118.15,1.80
42.36,-118.21,1.38
42.65,-118.27,1.57
42.94,-118.33,5.05
43.22,-118.39,2.51
43.51,-118.45,2.86
43.80,-118.51,2.79
44.08,-118.57,4.54
44.37,-118.64,2.74
44.66,-118.70,6.83
44.95,-118.76,6.96
45.23,-118.83,7.81
45.52,-118.89,4.40
45.81,-118.96,5.99
46.10,-119.03,3.34
46.38,-119.10,3.43
46.67,-119.16,3.19
46.96,-119.23,0.65
47.25,-119.30,2.16
47.53,-119.37,1.89
47.82,-119.45,2.40
48.11,-119.52,2.68
48.40,-119.59,4.17
48.68,-119.66,5.59
48.97,-119.74,2.76
32.79,-116.19,0.60
33.07,-116.23,0.13
33.35,-116.27,0.45
33.63,-116.31,0.18
33.91,-116.36,0.86
34.19,-116.40,1.59
34.47,-116.44,1.22
34.75,-116.49,0.42
35.03,-116.53,0.47
35.31,-116.57,0.27
35.59,-116.62,0.95
35.87,-116.66,0.11
36.15,-116.71,0.43
36.43,-116.75,0.70
36.72,-116.80,1.61
37.00,-116.85,1.02
37.28,-116.89,1.36
37.56,-116.94,0.82
37.85,-116.99,3.76
38.13,-117.04,1.06
38.41,-117.09,0.84
38.70,-117.14,0.29
38.98,-117.19,2.15
39.27,-117.24,4.46
39.55,-117.29,1.21
39.84,-117.34,2.11
40.12,-117.39,1.43
40.41,-117.44,2.00
40.69,-117.50,1.70
40.98,-117.55,1.48
41.26,-117.60,4.00
41.55,-117.66,2.57
41.83,-117.71,3.54
42.12,-117.77,4.04
42.41,-117.82,2.28
42.69,-117.88,2.60
42.98,-117.94,2.32
43.27,-118.00,2.18
43.55,-118.06,2.20
43.84,-118.11,1.73
44.13,-118.17,2.23
44.42,-118.24,3.20
44.70,-118.30,7.06
44.99,-118.36,7.02
45.28,-118.42,4.08
45.57,-118.48,7.94
45.85,-118.55,6.68
46.14,-118.61,3.04
46.43,-118.68,5.11
46.72,-118.74,1.59
47.00,-118.81,1.92
47.29,-118.88,5.61
47.58,-118.95,1.81
