# VanLoocke, Andy, Tracy E. Twine, Marcelo Zeri, and Carl J. Bernacchi. "A regional comparison of water use efficiency for miscanthus, switchgrass and maize." Agricultural and Forest Meteorology 164 (2012): 82-95. http://dx.doi.org/10.1016/j.agrformet.2012.05.016
"lat","lon","aet"
-81.25,37.75,358.178280697204
-80.75,37.75,349.112684736727
-80.25,37.75,349.376057826914
-104.25,38.25,374.760630218341
-103.75,38.25,374.338709886186
-103.25,38.25,391.129674751544
-102.75,38.25,410.623958368669
-102.25,38.25,423.944043274969
-101.75,38.25,435.938912949408
-101.25,38.25,433.945519416884
-100.75,38.25,363.311280617461
-100.25,38.25,375.164883839228
-99.75,38.25,458.03834649612
-99.25,38.25,453.749486099929
-98.75,38.25,445.60018488369
-98.25,38.25,446.698130282923
-97.75,38.25,462.896016163904
-97.25,38.25,474.98381577665
-96.75,38.25,502.34477051592
-96.25,38.25,476.011792673613
-95.75,38.25,454.136741586728
-95.25,38.25,425.358441571007
-94.75,38.25,433.775340784341
-94.25,38.25,446.191199530585
-93.75,38.25,511.83800523344
-93.25,38.25,494.811000148242
-92.75,38.25,401.973466398427
-92.25,38.25,377.367574681761
-91.75,38.25,383.463733839744
-91.25,38.25,367.390495398984
-90.75,38.25,365.970490955573
-90.25,38.25,355.252538581844
-89.75,38.25,367.315141238039
-89.25,38.25,366.949500534276
-85.75,38.25,306.079586823835
-85.25,38.25,304.433005996019
-84.75,38.25,310.068755498389
-84.25,38.25,317.880465510883
-83.75,38.25,321.680325318259
-83.25,38.25,333.68995602255
-82.75,38.25,347.797520894354
-82.25,38.25,358.177940585214
-81.75,38.25,369.709988496732
-81.25,38.25,382.258087448892
-80.75,38.25,372.945470946026
-80.25,38.25,369.329446483578
-104.25,38.75,370.369345942279
-103.75,38.75,379.412110637175
-103.25,38.75,395.670950872067
-102.75,38.75,407.850262732652
-102.25,38.75,421.075463001151
-101.75,38.75,430.557467065461
-101.25,38.75,435.804037864553
-100.75,38.75,444.440772179747
-100.25,38.75,442.007135225111
-99.75,38.75,456.312878818891
-99.25,38.75,456.301378054035
-98.75,38.75,455.109696764033
-98.25,38.75,461.477830174044
-97.75,38.75,476.472982962499
-97.25,38.75,497.43554972019
-96.75,38.75,514.859193093143
-96.25,38.75,437.887106810696
-95.75,38.75,495.091133858077
-95.25,38.75,410.692951933481
-94.75,38.75,502.933760997374
-94.25,38.75,510.360455217771
-93.75,38.75,536.139605214412
-93.25,38.75,518.362927857874
-92.75,38.75,499.092466520029
-92.25,38.75,402.109413720667
-91.75,38.75,367.139624498668
-91.25,38.75,346.648147457978
-90.75,38.75,347.200152349775
-90.25,38.75,382.787204777997
-84.75,38.75,341.831671477565
-84.25,38.75,339.283185117878
-83.75,38.75,338.472027239826
-83.25,38.75,348.568417336552
-82.75,38.75,361.115244526474
-82.25,38.75,371.523716941545
-81.75,38.75,367.241253222805
-81.25,38.75,381.529930480523
-80.75,38.75,393.509084324469
-80.25,38.75,387.698702438327
-104.25,39.25,382.408977735089
-103.75,39.25,392.06273402879
-103.25,39.25,405.816220477223
-102.75,39.25,419.034947718144
-102.25,39.25,418.875044806395
-101.75,39.25,417.682920802996
-101.25,39.25,415.72303354321
-100.75,39.25,420.424312234682
-100.25,39.25,442.159683685546
-99.75,39.25,455.356041165331
-99.25,39.25,463.37058682699
-98.75,39.25,474.049016649602
-98.25,39.25,480.930618337123
