# Deepak Jaiswal, David LeBauer, Dan Wang, Tim Wertin, and Steve Long, in prep. Please do not reuse prior to publication without consent of authors
"lat","lon","yield"
36.04,-117.75,9.14
36.32,-117.8,3.77
36.6,-117.85,3.2
36.88,-117.91,1.61
37.16,-117.96,8
37.44,-118.01,8.25
37.73,-118.06,10.5
38.01,-118.12,5.54
38.29,-118.17,4.46
38.58,-118.23,8.93
38.86,-118.28,11.19
39.14,-118.34,3.94
39.43,-118.39,3.1
39.71,-118.45,4.21
39.99,-118.51,7.83
40.28,-118.56,5.88
40.56,-118.62,8.12
40.85,-118.68,7.12
41.13,-118.74,9.73
41.42,-118.8,6.9
41.7,-118.86,8.15
41.99,-118.92,8.23
42.28,-118.99,9.68
42.56,-119.05,12.51
42.85,-119.11,9.53
43.13,-119.18,9.77
43.42,-119.24,9.31
43.71,-119.31,10.83
43.99,-119.37,10.69
44.28,-119.44,7.96
44.56,-119.51,7.79
44.85,-119.57,7.89
45.14,-119.64,10.82
45.42,-119.71,4.63
45.71,-119.78,6.9
46,-119.86,2.84
46.29,-119.93,3.88
46.57,-120,6.47
46.86,-120.07,8.55
47.15,-120.15,8.59
47.43,-120.22,8.87
47.72,-120.3,10.77
48.01,-120.38,10.28
48.3,-120.46,9.95
48.58,-120.53,9.07
48.87,-120.61,8.87
32.72,-116.85,4.91
33,-116.9,4.96
33.28,-116.94,5.54
33.56,-116.98,3.63
33.83,-117.03,2.23
34.11,-117.07,6.14
34.39,-117.12,1.01
34.67,-117.17,0.49
34.95,-117.21,0.48
35.23,-117.26,1.03
35.51,-117.31,1.2
35.79,-117.36,2.94
36.08,-117.4,1.95
36.36,-117.45,3
36.64,-117.5,2.32
36.92,-117.55,1.63
37.2,-117.6,2.72
37.49,-117.65,7.22
37.77,-117.71,4.41
38.05,-117.76,6.79
38.33,-117.81,11.12
38.62,-117.86,6.18
38.9,-117.92,9.13
39.19,-117.97,5.54
39.47,-118.02,4.93
39.75,-118.08,7.5
40.04,-118.13,6.67
40.32,-118.19,6.79
40.61,-118.25,8.64
40.89,-118.3,6.19
41.18,-118.36,6.85
41.46,-118.42,6.38
41.75,-118.48,9.43
42.03,-118.54,12.01
42.32,-118.6,11.89
42.61,-118.66,9.01
42.89,-118.72,9.43
43.18,-118.78,9.32
43.47,-118.85,12.24
43.75,-118.91,10.76
44.04,-118.97,9.21
44.33,-119.04,8.81
44.61,-119.1,8.89
44.9,-119.17,9.02
45.19,-119.24,12.78
45.47,-119.3,12.14
45.76,-119.37,6.36
46.05,-119.44,3.02
46.34,-119.51,3.97
46.62,-119.58,3.21
46.91,-119.65,2.86
47.2,-119.73,9.67
47.48,-119.8,7.92
47.77,-119.87,8.46
48.06,-119.95,11.76
48.35,-120.02,8.5
48.63,-120.1,10.63
48.92,-120.18,8.95
32.76,-116.52,4.78
33.04,-116.56,6.15
33.31,-116.61,4.52
33.59,-116.65,4.71
33.87,-116.69,1.79
34.15,-116.74,7.34
34.43,-116.78,8.96
34.71,-116.83,0.53
34.99,-116.87,0.3
35.27,-116.92,1.86
35.55,-116.96,1.66
35.83,-117.01,1.63
36.11,-117.06,2.08
36.4,-117.1,0.39
36.68,-117.15,1.39
36.96,-117.2,0.89
37.24,-117.25,7.21
37.53,-117.3,5.67
37.81,-117.35,5.66
38.09,-117.4,5.68
38.37,-117.45,8.2
38.66,-117.5,5.13
38.94,-117.55,6.14
39.23,-117.6,9.36
39.51,-117.66,11.77
39.8,-117.71,7.73
40.08,-117.76,5.4
