# Dan Wang, David LeBauer, and Michael Dietze 2013. Predicting yields of short-rotation hybrid poplar (Populus spp.) for the United States through model–data synthesis. Ecological Applications 23:944–958. http://dx.doi.org/10.1890/12-0854.1
"lon","lat","poplar_yield"
-93.25,29.75,11.5
-92.75,29.75,11.7
-92.25,29.75,11.7
-91.75,29.75,11.8
-91.25,29.75,11.5
-90.75,29.75,11.5
-90.25,29.75,11.9
-89.75,29.75,12
-85.25,29.75,6.06
-84.75,29.75,5.83
-83.75,29.75,6.29
-83.25,29.75,6.69
-82.75,29.75,6.79
-82.25,29.75,10.1
-81.75,29.75,7.7
-81.25,29.75,6.68
-115.75,30.25,8.53
-115.25,30.25,7.16
-114.75,30.25,7.37
-112.75,30.25,2.82
-112.25,30.25,3.65
-111.75,30.25,6.79
-111.25,30.25,8.59
-110.75,30.25,7.71
-110.25,30.25,7.37
-109.75,30.25,6.43
-109.25,30.25,3.7
-108.75,30.25,3.1
-108.25,30.25,3.3
-107.75,30.25,6.45
-107.25,30.25,5
-106.75,30.25,6.47
-106.25,30.25,5.99
-105.75,30.25,5.65
-105.25,30.25,5.59
-104.75,30.25,2.42
-104.25,30.25,3.29
-103.75,30.25,2.92
-103.25,30.25,2.38
-102.75,30.25,2.8
-102.25,30.25,2.94
-101.75,30.25,2.93
-101.25,30.25,2.42
-100.75,30.25,4.86
-100.25,30.25,5.33
-99.75,30.25,6.74
-99.25,30.25,6.9
-98.75,30.25,6.95
-98.25,30.25,7.33
-97.75,30.25,6.13
-97.25,30.25,6.74
-96.75,30.25,6.79
-96.25,30.25,6.73
-95.75,30.25,7.36
-95.25,30.25,9.16
-94.75,30.25,9.64
-94.25,30.25,9.53
-93.75,30.25,9.88
-93.25,30.25,11
-92.75,30.25,11.5
-92.25,30.25,11.6
-91.75,30.25,11.7
-91.25,30.25,11.6
-90.75,30.25,11.4
-90.25,30.25,11.2
-89.75,30.25,11.4
-89.25,30.25,11.3
-88.75,30.25,11.5
-88.25,30.25,10.8
-87.75,30.25,10.1
-87.25,30.25,10.5
-86.75,30.25,0.953
-86.25,30.25,1.43
-85.75,30.25,10.3
-85.25,30.25,10.3
-84.75,30.25,11.6
-84.25,30.25,9.77
-83.75,30.25,9.3
-83.25,30.25,6.36
-82.75,30.25,7.22
-82.25,30.25,7.54
-81.75,30.25,7.18
-81.25,30.25,3.76
-116.25,30.75,8.66
-115.75,30.75,8.87
-115.25,30.75,6.99
-114.75,30.75,7.72
-113.25,30.75,3.77
-112.75,30.75,3.23
-112.25,30.75,3.41
-111.75,30.75,5.35
-111.25,30.75,9.66
-110.75,30.75,8.77
-110.25,30.75,8.47
-109.75,30.75,6.65
-109.25,30.75,5.15
-108.75,30.75,2.83
-108.25,30.75,2.57
-107.75,30.75,3.68
-107.25,30.75,7.78
-106.75,30.75,5.45
-106.25,30.75,5.58
-105.75,30.75,5.53
-105.25,30.75,2.47
-104.75,30.75,2.31
-104.25,30.75,6.72
-103.75,30.75,4.22
-103.25,30.75,6.4
-102.75,30.75,2.3
-102.25,30.75,2.3
-101.75,30.75,2.34
-101.25,30.75,2.58
-100.75,30.75,3.55
-100.25,30.75,4.7
-99.75,30.75,4.75
-99.25,30.75,5.08
-98.75,30.75,5.09
-98.25,30.75,6.87
-97.75,30.75,7.33
-97.25,30.75,7.79
-96.75,30.75,8.32
-96.25,30.75,7.24
-95.75,30.75,8.73
-95.25,30.75,8.97
-94.75,30.75,9.83
-94.25,30.75,10
-93.75,30.75,11.5
-93.25,30.75,11.6
-92.75,30.75,11.7
-92.25,30.75,11.9
-91.75,30.75,11.7
-91.25,30.75,11.9
-90.75,30.75,12
-90.25,30.75,11.8
-89.75,30.75,11.6
-89.25,30.75,11.6
-88.75,30.75,11.6
-88.25,30.75,11.5
-87.75,30.75,11.6
-87.25,30.75,11.5
-86.75,30.75,0.938
-86.25,30.75,0.917
-85.75,30.75,7.41
-85.25,30.75,12
-84.75,30.75,11.7
-84.25,30.75,11.8
-83.75,30.75,7.74
-83.25,30.75,7.88
-82.75,30.75,8.01
-82.25,30.75,8.2
-81.75,30.75,5.66
-116.25,31.25,6.93
-115.75,31.25,7.16
-115.25,31.25,8.17
-114.75,31.25,5.57
-113.75,31.25,2.78
-113.25,31.25,2.75
-112.75,31.25,3.25
-112.25,31.25,3.56
-111.75,31.25,3.99
-111.25,31.25,6.52
-110.75,31.25,9.23
-110.25,31.25,8.45
-109.75,31.25,5.89
-109.25,31.25,5.65
-108.75,31.25,3.24
-108.25,31.25,3.04
-107.75,31.25,3.6
-107.25,31.25,3.33
-106.75,31.25,5.57
-106.25,31.25,5.78
-105.75,31.25,2.46
-105.25,31.25,2.4
-104.75,31.25,2.37
-104.25,31.25,2.72
-103.75,31.25,6.08
-103.25,31.25,5.04
-102.75,31.25,4.84
-102.25,31.25,4.78
-101.75,31.25,5.08
-101.25,31.25,2.55
-100.75,31.25,2.63
-100.25,31.25,3.48
-99.75,31.25,2.38
-99.25,31.25,3.66
-98.75,31.25,5.39
-98.25,31.25,5.86
-97.75,31.25,5.93
-97.25,31.25,6.5
-96.75,31.25,6.34
-96.25,31.25,6.76
-95.75,31.25,7.91
-95.25,31.25,8.78
-94.75,31.25,10.3
-94.25,31.25,11.3
-93.75,31.25,11.8
-93.25,31.25,11.9
-92.75,31.25,11.9
-92.25,31.25,11.9
-91.75,31.25,11.7
-91.25,31.25,11.8
-90.75,31.25,12
-90.25,31.25,11.9
-89.75,31.25,11.9
-89.25,31.25,11.8
-88.75,31.25,11.6
-88.25,31.25,11.7
-87.75,31.25,9.86
-87.25,31.25,0.945
-86.75,31.25,0.891
-86.25,31.25,0.878
-85.75,31.25,0.838
-85.25,31.25,11.3
-84.75,31.25,11.4
-84.25,31.25,0.866
-83.75,31.25,0.786
-83.25,31.25,3.96
-82.75,31.25,7.84
-82.25,31.25,7.6
-81.75,31.25,5.46
-81.25,31.25,5.52
-116.75,31.75,3.7
-116.25,31.75,4.78
-115.75,31.75,3.52
-115.25,31.75,3.51
-114.75,31.75,3.78
-114.25,31.75,3.4
-113.75,31.75,2.83
-113.25,31.75,2.3
-112.75,31.75,2.82
-112.25,31.75,3.92
-111.75,31.75,5.26
-111.25,31.75,5.88
-110.75,31.75,5.93
-110.25,31.75,4.48
-109.75,31.75,3.36
-109.25,31.75,4.65
-108.75,31.75,3.02
-108.25,31.75,2.5
-107.75,31.75,3.11
-107.25,31.75,4.33
-106.75,31.75,5.28
-106.25,31.75,5.45
-105.75,31.75,5.41
-105.25,31.75,4.61
-104.75,31.75,4.92
-104.25,31.75,5.38
-103.75,31.75,5.69
-103.25,31.75,5.39
-102.75,31.75,4.24
-102.25,31.75,4.25
-101.75,31.75,5.3
-101.25,31.75,3.01
-100.75,31.75,3.17
-100.25,31.75,2.97
-99.75,31.75,3.53
-99.25,31.75,4.27
-98.75,31.75,5.15
-98.25,31.75,5.4
-97.75,31.75,5.02
-97.25,31.75,5.36
-96.75,31.75,7.25
-96.25,31.75,8.34
-95.75,31.75,9.75
-95.25,31.75,9.28
-94.75,31.75,11
-94.25,31.75,11.5
-93.75,31.75,11.7
-93.25,31.75,11.8
-92.75,31.75,11.9
-92.25,31.75,11.8
-91.75,31.75,11.7
-91.25,31.75,11.8
-90.75,31.75,11.8
-90.25,31.75,11.8
-89.75,31.75,11.8
-89.25,31.75,11.8
-88.75,31.75,11.8
-88.25,31.75,10.3
-87.75,31.75,0.816
-87.25,31.75,0.849
-86.75,31.75,4.54
-86.25,31.75,5.33
-85.75,31.75,8.23
-85.25,31.75,0.814
