# VanLoocke, Andy, Tracy E. Twine, Marcelo Zeri, and Carl J. Bernacchi. "A regional comparison of water use efficiency for miscanthus, switchgrass and maize." Agricultural and Forest Meteorology 164 (2012): 82-95. https://doi.org/10.1016/j.agrformet.2012.05.016
"lat","lon","aet"
-82.75,38.25,354.865081345226
-82.25,38.25,365.95768461132
-81.75,38.25,379.209887558362
-81.25,38.25,391.713850399188
-80.75,38.25,382.154127184069
-80.25,38.25,378.506935265788
-104.25,38.75,372.922581864987
-103.75,38.75,378.479026851011
-103.25,38.75,389.973214717116
-102.75,38.75,401.168727853918
-102.25,38.75,418.467053115601
-101.75,38.75,424.788957547484
-101.25,38.75,426.486188869807
-100.75,38.75,435.237112209201
-100.25,38.75,424.133128365851
-99.75,38.75,437.211489272784
-99.25,38.75,438.977598030586
-98.75,38.75,440.252400968806
-98.25,38.75,447.415601052577
-97.75,38.75,458.820779759379
-97.25,38.75,465.362049666233
-96.75,38.75,472.074582720525
-96.25,38.75,410.578819954884
-95.75,38.75,485.297124972101
-95.25,38.75,401.358764275908
-94.75,38.75,501.119239957538
-94.25,38.75,512.827334553935
-93.75,38.75,540.711114839185
-93.25,38.75,523.405761273636
-92.75,38.75,503.132086713798
-92.25,38.75,408.096261010505
-91.75,38.75,372.897816272918
-91.25,38.75,353.874065508833
-90.75,38.75,354.366750031477
-90.25,38.75,387.705649285635
-84.75,38.75,345.372177582758
-84.25,38.75,343.204427296529
-83.75,38.75,343.157639326237
-83.25,38.75,353.951544392155
-82.75,38.75,366.747488693538
-82.25,38.75,377.526985312958
-81.75,38.75,375.81836852408
-81.25,38.75,390.411282634595
-80.75,38.75,401.523376372934
-80.25,38.75,395.202158648681
-104.25,39.25,385.316049872199
-103.75,39.25,390.271901614498
-103.25,39.25,409.784563029185
-102.75,39.25,422.520916038513
-102.25,39.25,416.775647086062
-101.75,39.25,415.2169940811
-101.25,39.25,412.407266860129
-100.75,39.25,416.849650015822
-100.25,39.25,436.342871039407
-99.75,39.25,436.81918685697
-99.25,39.25,443.662745196372
-98.75,39.25,451.852652296773
-98.25,39.25,458.707565208199
-97.75,39.25,464.936037044623
-97.25,39.25,505.029608190001
-96.75,39.25,530.940056465566
-96.25,39.25,514.983646172564
-95.75,39.25,498.286442486569
-95.25,39.25,444.317917229142
-94.75,39.25,511.864317887754
-94.25,39.25,523.425752501003
-93.75,39.25,534.312290462665
-93.25,39.25,515.637991903233
-92.75,39.25,448.468434134615
-92.25,39.25,444.400547018391
-91.75,39.25,411.735259901034
-91.25,39.25,416.263063790742
-88.25,39.25,386.927317165449
-84.75,39.25,364.815607050703
-84.25,39.25,350.464011504257
-83.75,39.25,345.374089121877
-83.25,39.25,358.482679726818
-82.75,39.25,369.602103020443
-82.25,39.25,380.255366048506
-81.75,39.25,382.155575686309
-81.25,39.25,396.168818114791
-80.75,39.25,411.637780353776
-80.25,39.25,403.209569316678
-104.25,39.75,412.044629891985
-103.75,39.75,399.365774029749
-103.25,39.75,414.417397586862
-102.75,39.75,418.688880045083
-102.25,39.75,406.714934876189
-101.75,39.75,403.213130567223
-101.25,39.75,391.29756442178
-100.75,39.75,392.844100086018
-100.25,39.75,425.663783872966
-99.75,39.75,447.056282214122
-99.25,39.75,439.660940103699
-98.75,39.75,456.078755038208
-98.25,39.75,461.420155297383
-97.75,39.75,458.914758177241
-97.25,39.75,492.882565402193
-96.75,39.75,509.524650917156
-96.25,39.75,499.290314449929
-95.75,39.75,433.643622886389
-95.25,39.75,477.581820736639
-94.75,39.75,438.302663275041
-94.25,39.75,508.697607378475
-93.75,39.75,443.398784367891
-93.25,39.75,431.251433962025
-92.75,39.75,468.91176761454
-92.25,39.75,540.671028254204
-91.75,39.75,453.454639464617
-91.25,39.75,433.613165332645
-90.75,39.75,449.94494693249
-89.75,39.75,409.378945217817
-89.25,39.75,445.594321826007
-88.75,39.75,324.348863259656
-88.25,39.75,377.922776135383
-87.75,39.75,397.896734988783
-85.75,39.75,393.012151143979
-85.25,39.75,383.14300381206
-84.25,39.75,355.025587066426
-83.75,39.75,355.731968241278
-83.25,39.75,374.283988039359
-82.75,39.75,372.780913980416
-82.25,39.75,373.015243910108
-81.75,39.75,395.327260370977
-81.25,39.75,426.196801314247
-80.75,39.75,436.807295691891
-80.25,39.75,421.382896722062
-104.25,40.25,424.554841016186
-103.75,40.25,408.241863835137
-103.25,40.25,408.791293735267
-102.75,40.25,418.341298085987
-102.25,40.25,383.278486656956
-101.75,40.25,413.792977824807
-101.25,40.25,414.176927684341
-100.75,40.25,409.493821767624
-100.25,40.25,429.97858046589
-99.75,40.25,446.163064231136
-99.25,40.25,460.283041396702
-98.75,40.25,463.094922020333
-98.25,40.25,475.29397261655
-97.75,40.25,482.660471871728
-97.25,40.25,386.614703065483
-96.75,40.25,484.101997459773
-96.25,40.25,502.391866416438
-95.75,40.25,468.88317452278
-95.25,40.25,487.264515044168
-94.75,40.25,510.671030124649
-94.25,40.25,508.137078104541
-93.75,40.25,512.128830553964
-93.25,40.25,501.935355669644
-92.75,40.25,538.641697448009
-92.25,40.25,471.587599291466
-91.75,40.25,410.145497071557
-91.25,40.25,430.918730243575
-90.75,40.25,410.596834279189
-90.25,40.25,388.131319348991
-89.75,40.25,368.690896307118
-89.25,40.25,365.058234853321
-88.75,40.25,371.247330918908
-88.25,40.25,387.534951743204
-87.75,40.25,404.515021509491
-87.25,40.25,402.434932254255
-86.75,40.25,350.625554029917
-86.25,40.25,343.396212098654
-85.75,40.25,343.539135618601
-85.25,40.25,331.035954927909
-84.75,40.25,317.862726762658
-84.25,40.25,382.748034880962
-83.75,40.25,393.09399838245
-83.25,40.25,402.241903288988
-82.75,40.25,389.44878882484
-82.25,40.25,383.678094372968
-81.75,40.25,393.622755292745
-81.25,40.25,434.708846140187
-80.75,40.25,447.812836792669
-80.25,40.25,435.339330213828
-104.25,40.75,410.440842738375
-103.75,40.75,377.719065645244
-103.25,40.75,405.905314677395
-102.75,40.75,384.98591227876
-102.25,40.75,386.090182351298
-101.75,40.75,382.703241303563
-101.25,40.75,393.560764928872
-100.75,40.75,440.47840844281
-100.25,40.75,440.058644940495
-99.75,40.75,451.955653609708
-99.25,40.75,469.314834052973
