"spp","D","H","THETA","R1","R2","R3","R4","R5","R6","R7","R8","Dia","Ht","Ca"
"ACRU",1.13987908640124,1.26078666865498,1.25947558864862,3.98,1.87,NA,NA,NA,NA,NA,NA,13.8,18.23,26.8782886468692
"ACRU",0.462397997898956,0.487138375477186,-1.81474898745275,1.88,0.65,NA,NA,NA,NA,NA,NA,2.9,3.07,5.02725510409073
"ACRU",1.13987908640124,1.09898963940118,1.06492489268443,5.24,3.95,NA,NA,NA,NA,NA,NA,13.8,12.56,66.3316658277112
"CACA18",1.08990511143940,1.04805317311561,1.55354566499285,4.73,2.12,NA,NA,NA,NA,NA,NA,12.3,11.17,36.8528453220168
"CACA18",0.991226075692495,0.952792443044092,0.194591649385769,4.85,1.57,NA,NA,NA,NA,NA,NA,9.8,8.97,32.3712848618546
"CACA18",0.880813592280791,0.981818607170664,1.34001360855588,4.77,0.75,NA,NA,NA,NA,NA,NA,7.6,9.59,23.9313961979856
"CACA18",0.740362689494244,0.776701183988411,1.06763636077381,3.75,0.89,NA,NA,NA,NA,NA,NA,5.5,5.98,16.9093082986817
"CACA18",1.37291200297011,1.41212440617332,-0.500308978741065,3.36,1.28,NA,NA,NA,NA,NA,NA,23.6,25.83,16.9093082986817
"CACA18",0.176091259055681,0.53655844257153,0.233614851181505,1.55,0.7,NA,NA,NA,NA,NA,NA,1.5,3.44,3.97607820219958
"CACA18",1.16435285578444,1.11360915107303,0.112512691789674,6.28,3.13,NA,NA,NA,NA,NA,NA,14.6,12.99,69.5455151123336
"CACA18",0.462397997898956,0.592176757395867,1.31125917517698,2.38,1.45,NA,NA,NA,NA,NA,NA,2.9,3.91,11.5209271190608
"CACA18",0.176091259055681,0.630427875025024,0.413277647844958,5.76,2.15,NA,NA,NA,NA,NA,NA,1.5,4.27,49.1408708272679
"CACA18",0.954242509439325,0.907411360774586,0.375642846645543,5.11,1.47,NA,NA,NA,NA,NA,NA,9,8.08,34.0049130417213
"CACA18",1.20411998265592,1.06632592536204,1.88924592845498,6.63,4.09,NA,NA,NA,NA,NA,NA,16,11.65,90.2567003005733
"CACA18",0.397940008672038,0.354108439147401,0.285101425858289,1.51,0.58,NA,NA,NA,NA,NA,NA,2.5,2.26,3.43069771753639
"CACA18",1.00860017176192,0.810232517995084,1.38823047014676,2.9,1.56,NA,NA,NA,NA,NA,NA,10.2,6.46,15.6228261070367
"CACA18",0.0413926851582251,0.285557309007774,-1.43893809460531,0.97,0.1,NA,NA,NA,NA,NA,NA,1.1,1.93,0.899202357273739
"CACA18",0.505149978319906,0.993436230497612,0.617923759322358,2.99,1.57,NA,NA,NA,NA,NA,NA,3.2,9.85,16.3312552504212
"CACA18",-0.0969100130080564,0.472756449317212,1.04982212449868,1.58,0.79,NA,NA,NA,NA,NA,NA,0.8,2.97,4.41150294398713
"CACA18",0.643452676486187,0.919601023784111,-0.215024426875705,4.14,0,NA,NA,NA,NA,NA,NA,4.4,8.31,13.4614103613669
"CACA18",0.301029995663981,0.531478917042255,0.619039208406224,1.5,1.07,NA,NA,NA,NA,NA,NA,2,3.4,5.18747632942381
"CAGL8",1.35218251811136,1.29644579420640,-0.383615499393762,4.68,1.01,NA,NA,NA,NA,NA,NA,22.5,19.79,25.4281294779721
"CAGL8",1.6414741105041,1.55581968306119,1.76190650607837,4.71,1.65,NA,NA,NA,NA,NA,NA,43.8,35.96,31.7690415501614
"CAGL8",1.26007138798507,1.29732271420530,0.66828714324055,3.78,0.77,NA,NA,NA,NA,NA,NA,18.2,19.83,16.2597054777357
"CAGL8",1.72672720902657,1.30254737248749,1.1409146683588,4.16,1.04,NA,NA,NA,NA,NA,NA,53.3,20.07,21.237166338267
"CAGL8",0.447158031342219,0.342422680822206,0.0727593542824283,1.74,0.93,NA,NA,NA,NA,NA,NA,2.8,2.2,5.59902496704407
"CAGL8",1.23552844690755,1.12613140726198,-1.37418429230338,3.68,2.6,NA,NA,NA,NA,NA,NA,17.2,13.37,30.9748469273339
