# VanLoocke, Andy, Tracy E. Twine, Marcelo Zeri, and Carl J. Bernacchi. "A regional comparison of water use efficiency for miscanthus, switchgrass and maize." Agricultural and Forest Meteorology 164 (2012): 82-95. http://dx.doi.org/10.1016/j.agrformet.2012.05.016
"lat","lon","aet"
-90.75,38.75,324.966208285041
-90.25,38.75,364.15678673971
-84.75,38.75,338.590052197222
-84.25,38.75,336.03660736623
-83.75,38.75,333.811995574506
-83.25,38.75,342.508280304202
-82.75,38.75,352.18939531202
-82.25,38.75,360.151610338959
-81.75,38.75,356.759224896668
-81.25,38.75,371.86515916526
-80.75,38.75,379.453747371328
-80.25,38.75,375.041359938681
-104.25,39.25,357.348228796618
-103.75,39.25,353.498558993102
-103.25,39.25,384.32500559208
-102.75,39.25,398.830904961098
-102.25,39.25,384.620562987868
-101.75,39.25,383.184354006546
-101.25,39.25,380.473446375108
-100.75,39.25,386.477807450923
-100.25,39.25,402.752572590427
-99.75,39.25,388.056732655503
-99.25,39.25,391.767300879117
-98.75,39.25,397.682162788347
-98.25,39.25,399.493845049263
