# Miguez, F. E., Maughan, M., Bollero, G. A., & Long, S. P. (2012). Modeling spatial and dynamic variation in growth, yield, and yield stability of the bioenergy crops Miscanthus× giganteus and Panicum virgatum across the conterminous United States. Gcb Bioenergy, 4(5), 509-520. http://dx.doi.org/10.1111/j.1757-1707.2011.01150.x
lat,lon,pavi_yield
30.61222218,-102.0094221,0.007225331
35.83779907,-113.8398319,0.007225348
37.48517129,-117.6544376,0.007298558
37.31235886,-119.0750083,0.007299597
48.16137215,-103.2856157,0.007306731
32.27765176,-112.1308636,0.007339963
37.92180154,-118.8337899,0.007353067
39.98772332,-120.7909182,0.007368173
37.22162148,-105.7505971,0.007409245
40.95143127,-105.6676365,0.007446712
39.0062513,-119.4311216,0.007454901
39.01567078,-113.4753036,0.007459798
38.56652832,-111.2210346,0.007461519
45.26299766,-110.1063826,0.007553012
36.60179901,-114.996107,0.007582877
34.59831139,-115.080973,0.007590666
42.82422158,-121.5152261,0.00759688
39.21891022,-108.6723305,0.007618787
42.76761147,-121.9024794,0.007619289
36.25306222,-111.7658118,0.007626691
38.15919876,-113.3809032,0.007638567
45.71936318,-113.0582905,0.007669598
34.34739784,-114.704487,0.007686632
32.42627815,-107.169695,0.007787224
41.84526825,-120.0732304,0.007816415
42.62602997,-110.7458804,0.007908474
31.86657623,-106.5114692,0.007928206
34.11057761,-106.8339996,0.007943849
44.95953849,-110.499983,0.007956417
39.76752373,-109.81122,0.007965991
39.63521957,-112.7960968,0.007966498
36.25592902,-115.6594349,0.007967821
33.35391137,-112.8938867,0.00797399
38.72338104,-119.3703286,0.00798731
44.13588235,-114.911703,0.0080212
39.34181693,-116.5002806,0.008066901
38.41385171,-117.0865021,0.008086286
36.31478119,-110.3572941,0.008107983
39.90366843,-119.247404,0.008110288
42.41500092,-120.2096193,0.008141988
30.6897535,-103.6178318,0.008157804
30.06002715,-102.052002,0.008201505
31.02091838,-105.5456831,0.008239177
30.09421109,-102.689428,0.00826533
39.94360253,-112.4509964,0.008287606
41.74181846,-120.8362641,0.008306219
37.73588943,-115.1503217,0.008306887
43.9566803,-113.2645148,0.008328119
36.5989418,-110.3731995,0.008367159
41.54216865,-114.5448933,0.008385544
30.35370734,-102.3508052,0.008418293
44.55945107,-112.9262717,0.008454391
39.52389625,-119.9218157,0.008492578
38.167779,-116.6768914,0.008599239
34.69864753,-119.2561914,0.008607798
30.37030841,-102.670975,0.008609254
35.51331809,-117.30842,0.008655016
30.59315343,-101.6882671,0.008656645
31.57699013,-105.5329745,0.008731215
39.94986823,-118.8770981,0.008749
33.81496048,-114.2979087,0.00875641
44.01869682,-121.4305019,0.008837323
44.10444161,-115.3139208,0.008848058
43.81584647,-115.2692967,0.008886421
34.95243356,-117.2136171,0.00890197
37.54730988,-119.4884033,0.008919393
29.88302182,-104.2971189,0.008920517
39.96383187,-112.0765821,0.008997823
30.04117295,-101.7335628,0.009060553
45.27427772,-109.6932644,0.009102396
31.26736352,-104.238375,0.009108023
40.66308692,-105.6744173,0.00913054
36.50471878,-116.0519028,0.009194534
35.68636224,-111.7213322,0.009224141
44.51561257,-119.9084015,0.00924584
34.90916344,-114.7753869,0.009331673
33.4323082,-111.5514701,0.009345764
35.62432098,-116.2718311,0.009361181
44.53565979,-113.3327309,0.009366496
42.88491058,-115.9245647,0.009398266
39.55082801,-117.2869373,0.009446554
36.35678101,-117.4539372,0.009487666
39.70493797,-120.7224025,0.009492121
42.98004913,-106.014374,0.009510104
37.53855896,-114.0371783,0.009556352
42.07876685,-120.5248258,0.009584489
44.10111716,-110.0391998,0.009592084
30.31696799,-101.7109985,0.009605394
32.98626807,-107.1712093,0.00962178
48.81573105,-121.0502184,0.009632596
37.68368912,-118.4204082,0.009682444
39.19108963,-120.2230335,0.009756894
36.87017059,-103.2637024,0.009879115
41.56061935,-120.0060922,0.009881502
34.43017677,-116.781584,0.009913505
36.18762687,-116.3589076,0.009936168
32.59266183,-111.4908698,0.009955135
37.87607956,-119.1914638,0.009957829
40.07386017,-109.0736064,0.009959666
38.08535004,-107.5496639,0.009983238
43.52099991,-110.0066929,0.009994678
35.13792038,-111.3323096,0.010014588
33.54005334,-108.1844138,0.010023484
39.37749863,-116.1316703,0.010052628
32.40762809,-108.8257272,0.010089861
33.53504944,-114.2650703,0.010091741
37.63956353,-118.7769665,0.010097401
37.25440118,-114.0034962,0.010110281
34.65193939,-119.5949077,0.010143319
30.39996098,-103.3117641,0.010146147
36.68690392,-113.9371089,0.010180963
38.64966103,-114.5404316,0.010325476
43.5552378,-108.4063204,0.010345789
34.67243958,-117.166878,0.010355175
43.81098655,-110.0228751,0.010398908
36.27493766,-118.1522753,0.010434957
42.91538718,-110.76569,0.010440136
43.44883826,-121.2772697,0.010497103
33.97480872,-115.6829221,0.01053469
44.68180847,-110.0724199,0.010590839
37.79663086,-107.9086877,0.010591794
33.25548652,-114.2325038,0.010592161
41.6792765,-123.1900081,0.010631538
33.07413101,-112.8675229,0.010632825
30.15909287,-104.2855818,0.010710201
37.3575592,-118.7206692,0.010770479
36.92436981,-105.043789,0.010783071
34.61631873,-110.2649059,0.010797589
35.5156517,-108.2230109,0.010806853
36.63150024,-114.6434361,0.010918245
36.63848877,-117.5033801,0.010918513
36.8837204,-103.6194652,0.01095529
34.50923157,-118.5244158,0.010956227
40.84516907,-111.7737697,0.010977913
40.51845169,-118.9969903,0.011123957
40.9956617,-114.0875667,0.011146022
44.39139655,-110.0557192,0.011178314
34.35406396,-117.4590875,0.011224268
38.67781067,-114.1751305,0.011238643
32.1284571,-105.1903765,0.011248787
34.03752899,-115.0076641,0.011254595
36.01757333,-110.6922819,0.011382454
42.07350922,-109.9283868,0.011387013
38.15829369,-119.2505092,0.011411434
39.79937264,-105.6943148,0.011426134
41.971818,-121.2901823,0.011471875
34.94952872,-108.2117287,0.011474871
34.78155136,-116.1442145,0.011541241
39.80653861,-106.4429951,0.011543237
34.27292153,-118.1348803,0.011557467
38.08255005,-107.9130955,0.011593066
33.39562127,-112.2230931,0.011595926
43.39305398,-121.6692027,0.011600574
34.63352966,-117.5069196,0.011659639
39.51620865,-106.0732806,0.011731131
32.72356895,-113.8369328,0.011746962
39.23181915,-106.4485072,0.011778026
37.80082801,-106.8235725,0.011789625
35.19052124,-114.8113192,0.011797171
44.692956,-109.6638088,0.011829913
30.12369636,-103.3275051,0.011834939
31.54541828,-104.2263031,0.011844162
34.39274979,-117.1205326,0.011857301
34.91330239,-117.5551987,0.011983614
36.03530601,-117.7527943,0.011997331
41.39706039,-123.1073111,0.012020681
44.24610618,-113.2984348,0.01204217
32.21467689,-113.1190742,0.012061624
33.0515261,-113.2010975,0.012063013
46.29991913,-113.12652,0.012174348
36.85527039,-102.9081246,0.012220838
38.94622901,-106.8200876,0.01225706
42.31034851,-120.9802244,0.012290266
37.8229818,-114.0711692,0.01230837
34.31776047,-115.0441319,0.01231199
47.93088913,-107.2230279,0.012348623
30.021152,-101.4152871,0.012411044
47.63417053,-105.9231033,0.012421117
37.22976783,-106.8252369,0.012427911
38.94620895,-107.1889321,0.012432421
38.08677193,-106.8227005,0.012445473
31.55513284,-104.5528313,0.012460366
39.02014923,-116.8198296,0.01249842
32.8721914,-111.5108854,0.012548736
34.56722739,-115.42181,0.012569708
39.22898865,-106.0778754,0.012629992
32.13459298,-105.5200249,0.01263068
33.67599389,-112.2466795,0.012703062
35.06217674,-116.1863787,0.012717926
36.30135825,-110.7096902,0.012752405
41.33463767,-123.4830187,0.012790611
